,Batter,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,SD+
77,Gaige Howard,0.135670731707317,0.6229050279329609,0.3899416909620991,0.1339285714285714,0.8660714285714286,0.3265306122448979,0.0634110787172011,252.0
78,Zach Huffins,0.2993197278911564,0.6325878594249201,0.471169686985173,0.2296650717703349,0.7703349282296651,0.3443163097199341,0.1268533772652388,74.0
79,Alec Craig,0.0773809523809523,0.5179606025492468,0.3250814332247557,0.0930232558139534,0.9069767441860463,0.2801302931596091,0.0449511400651465,250.0
80,Blake Berry,0.1400651465798045,0.5834564254062038,0.3725793958171959,0.1529411764705882,0.8470588235294118,0.3292021688613478,0.0433772269558481,223.0
81,Chase Dawson,0.2295652173913043,0.6393939393939394,0.448582995951417,0.2,0.8,0.4048582995951417,0.0437246963562753,170.0
82,Blake Grant-parks,0.202020202020202,0.6441717791411042,0.4333868378812199,0.1179487179487179,0.882051282051282,0.3130016051364366,0.1203852327447833,74.0
83,Will Prater,0.2613636363636363,0.5950617283950618,0.439894319682959,0.2429577464788732,0.7570422535211268,0.3751651254953765,0.0647291941875825,90.0
84,Edwin Mateo,0.2820143884892086,0.6278688524590164,0.4436781609195402,0.2914893617021276,0.7085106382978723,0.3601532567049808,0.0835249042145593,193.0
85,Gavin Stupienski,0.2861356932153392,0.7246891651865008,0.4850926672038678,0.2615384615384615,0.7384615384615385,0.3666398066075745,0.1184528605962933,180.0
86,Oraj Anu,0.3404255319148936,0.7651821862348178,0.530316742081448,0.2763466042154566,0.7236533957845434,0.3864253393665158,0.1438914027149321,144.0
87,Juan Santana,0.3584589614740368,0.6374269005847953,0.4873873873873874,0.3705357142857143,0.6294642857142857,0.4036036036036036,0.0837837837837837,149.0
88,Will Zimmerman,0.1464788732394366,0.6127320954907162,0.3866120218579235,0.1176470588235294,0.8823529411764706,0.2554644808743169,0.1311475409836065,112.0
89,Willie Escala,0.3214285714285714,0.7304189435336976,0.5189094107299912,0.264367816091954,0.735632183908046,0.3825857519788918,0.1363236587510994,141.0
90,Anthony Gomez,0.2525252525252525,0.6550632911392406,0.4600326264274062,0.2300469483568075,0.7699530516431925,0.3474714518760196,0.1125611745513866,74.0
91,Jakob Goldfarb,0.293591654247392,0.7403846153846154,0.4886649874055415,0.2959427207637231,0.7040572792362768,0.3518052057094878,0.1368597816960537,182.0
92,Ian Walters,0.2241715399610136,0.6947162426614482,0.458984375,0.1888888888888888,0.8111111111111111,0.3515625,0.107421875,124.0
93,Malik Williams,0.4049586776859504,0.6739130434782609,0.5482625482625483,0.28,0.72,0.4343629343629344,0.1138996138996139,46.0
94,Santiago Chirino,0.2300469483568075,0.6239316239316239,0.436241610738255,0.2320441988950276,0.7679558011049724,0.4049217002237136,0.0313199105145413,56.0
95,Brendon Dadson,0.1976744186046511,0.6067708333333334,0.3906633906633907,0.232824427480916,0.767175572519084,0.3218673218673218,0.0687960687960688,177.0
96,Jack Harris,0.3132743362831858,0.7218649517684887,0.527379949452401,0.2058823529411764,0.7941176470588235,0.3437236731255265,0.1836562763268744,111.0
97,Kenen Irizarry,0.2117117117117117,0.582089552238806,0.4019715224534502,0.2019867549668874,0.7980132450331126,0.3307776560788609,0.0711938663745892,130.0
98,Victor Cerny,0.2950191570881226,0.6605504587155964,0.4982993197278911,0.2373540856031128,0.7626459143968871,0.4370748299319728,0.0612244897959183,58.0
99,Willie Estrada,0.2586750788643533,0.6791907514450867,0.4781297134238311,0.2208333333333333,0.7791666666666667,0.3619909502262443,0.1161387631975867,76.0
100,Sean Cheely,0.2404494382022471,0.6841004184100419,0.4702058504875406,0.1794871794871795,0.8205128205128205,0.3380281690140845,0.1321776814734561,113.0
101,Jiandido Tromp,0.2325581395348837,0.6336633663366337,0.4396728016359918,0.1693290734824281,0.8306709265175719,0.320040899795501,0.1196319018404908,134.0
102,James Nelson,0.2208955223880597,0.6814621409921671,0.4665738161559888,0.1598360655737705,0.8401639344262295,0.3398328690807799,0.1267409470752089,70.0
103,Alfredo Marte,0.2766666666666666,0.6613924050632911,0.474025974025974,0.2123893805309734,0.7876106194690266,0.3668831168831168,0.1071428571428571,71.0
104,Josh Rehwaldt,0.2345360824742268,0.6486486486486487,0.4366754617414248,0.2148760330578512,0.7851239669421488,0.3192612137203166,0.1174142480211081,100.0
105,Austin Dennis,0.1985559566787003,0.7205387205387206,0.4686411149825784,0.1861471861471861,0.8138528138528138,0.4024390243902439,0.0662020905923344,81.0
106,Austin Davis,0.2579365079365079,0.6824817518248175,0.4790874524714829,0.2028301886792453,0.7971698113207547,0.403041825095057,0.0760456273764258,70.0
107,Evan Berkley,0.25,0.627906976744186,0.4442231075697211,0.1529411764705882,0.8470588235294118,0.3386454183266932,0.1055776892430278,67.0
108,Brett Milazzo,0.2183673469387755,0.5966666666666667,0.4266055045871559,0.1896551724137931,0.8103448275862069,0.3724770642201835,0.0541284403669724,148.0
109,Kyle Fitzgerald,0.23841059602649,0.6176470588235294,0.4327233584499462,0.1840277777777778,0.8159722222222222,0.310010764262648,0.1227125941872981,108.0
110,Johnny Hipsman,0.3447098976109215,0.7250996015936255,0.5202205882352942,0.3073394495412844,0.6926605504587156,0.4007352941176471,0.119485294117647,97.0
111,Jawuan Harris,0.2061224489795918,0.5711382113821138,0.3890020366598778,0.1904761904761904,0.8095238095238095,0.2566191446028513,0.1323828920570264,132.0
112,Anthony Brocato,0.2963636363636364,0.7213114754098361,0.5086442220200182,0.2233766233766233,0.7766233766233767,0.3503184713375796,0.1583257506824386,125.0
113,Jaylen Smith,0.3280632411067193,0.6513761467889908,0.5103448275862069,0.2307692307692307,0.7692307692307693,0.4034482758620689,0.1068965517241379,41.0
114,Tristin Garcia,0.2511627906976744,0.6023166023166023,0.4430379746835443,0.2134831460674157,0.7865168539325843,0.3755274261603376,0.0675105485232067,49.0
115,Jeremiah Burks,0.2289156626506024,0.6269982238010657,0.4401508011310084,0.1506024096385542,0.8493975903614458,0.3129123468426013,0.1272384542884071,133.0
116,Phillip Steering,0.2156057494866529,0.6446886446886447,0.4424007744433688,0.1777777777777777,0.8222222222222222,0.3484995159728944,0.0939012584704743,137.0
117,Alex Toral,0.1881720430107527,0.6203703703703703,0.389367816091954,0.2037914691943128,0.7962085308056872,0.3031609195402299,0.0862068965517241,145.0
118,Jackie Urbaez,0.2024096385542168,0.6696230598669624,0.4457274826789838,0.1941747572815534,0.8058252427184466,0.3568129330254042,0.0889145496535796,116.0
119,Travis Holt,0.2237442922374429,0.5585215605749486,0.4,0.2050473186119873,0.7949526813880127,0.3427027027027027,0.0572972972972972,133.0
120,Jc Santini,0.1984126984126984,0.6036585365853658,0.4275862068965517,0.1497326203208556,0.8502673796791443,0.3224137931034482,0.1051724137931034,50.0
121,Tristan Peterson,0.2443324937027707,0.6727272727272727,0.4552429667519181,0.1686274509803921,0.8313725490196079,0.3260869565217391,0.129156010230179,99.0
122,Melvin Novoa,0.3170731707317073,0.6777408637873754,0.5017006802721088,0.2412280701754386,0.7587719298245614,0.3877551020408163,0.1139455782312925,60.0
123,Scotty Dubrule,0.1676767676767676,0.7009174311926606,0.4471153846153846,0.1404358353510895,0.8595641646489104,0.3971153846153846,0.05,179.0
124,Marcos Castillo,0.2972972972972973,0.6130268199233716,0.4557692307692307,0.2473118279569892,0.7526881720430108,0.3576923076923077,0.098076923076923,72.0
125,John Tuccillo,0.2989417989417989,0.6180124223602484,0.4457142857142857,0.2936170212765957,0.7063829787234043,0.3357142857142857,0.11,100.0
126,Jonathan Lacroix,0.2006920415224913,0.6182965299684543,0.4191419141914191,0.1690821256038647,0.8309178743961353,0.3415841584158416,0.0775577557755775,78.0
127,Jason Agresti,0.3121546961325966,0.6208955223880597,0.460545193687231,0.3062015503875969,0.6937984496124031,0.3701578192252511,0.0903873744619799,109.0
128,Jr Disarcina,0.3208430913348946,0.6227897838899804,0.485042735042735,0.2265861027190332,0.7734138972809668,0.3536324786324786,0.1314102564102564,84.0
129,Troy Viola,0.4060913705583756,0.6906976744186046,0.5546116504854369,0.2832369942196532,0.7167630057803468,0.4199029126213592,0.1347087378640776,69.0
130,Tyler Depreta-johnson,0.2098214285714285,0.6491803278688525,0.4631379962192816,0.166270783847981,0.833729216152019,0.3979206049149338,0.0652173913043478,118.0
131,Liam Mcarthur,0.1632996632996633,0.5026954177897575,0.3517964071856287,0.1626213592233009,0.837378640776699,0.3083832335329341,0.0434131736526946,193.0
132,Jordan Scott,0.2923076923076923,0.6853146853146853,0.4830316742081448,0.218954248366013,0.7810457516339869,0.3461538461538461,0.1368778280542986,134.0
133,Robert Chayka,0.2328431372549019,0.6912114014251781,0.4656212303980699,0.1842105263157894,0.8157894736842105,0.3667068757539203,0.0989143546441495,108.0
134,Wagner Lagrange,0.3404255319148936,0.6179577464788732,0.4857142857142857,0.279126213592233,0.720873786407767,0.3797235023041475,0.1059907834101382,114.0
135,Andrew Czech,0.1609375,0.535031847133758,0.3462145110410095,0.1943573667711598,0.8056426332288401,0.251577287066246,0.0946372239747634,241.0
136,Luis Atiles,0.2409240924092409,0.6568047337278107,0.4602184087363494,0.2175732217573222,0.7824267782426778,0.3728549141965678,0.0873634945397816,76.0
137,Christian Fedko,0.2113095238095238,0.5710843373493976,0.4101198402130492,0.1704545454545454,0.8295454545454546,0.351531291611185,0.0585885486018641,105.0
138,Lane Baremore,0.2903225806451613,0.6683804627249358,0.5007153075822603,0.1843137254901961,0.8156862745098039,0.3648068669527897,0.1359084406294706,56.0
139,Paul Coumoulous,0.3377483443708609,0.6947368421052632,0.5204741379310345,0.2112299465240641,0.7887700534759359,0.4030172413793103,0.1174568965517241,106.0
140,Nick Gotta,0.2019867549668874,0.5987460815047022,0.4057971014492754,0.2,0.8,0.3301127214170692,0.0756843800322061,97.0
141,Todd Isaacs jr.,0.3568376068376068,0.6894977168949772,0.5176600441501104,0.3099415204678362,0.6900584795321637,0.3774834437086092,0.1401766004415011,110.0
142,Jarrod Watking,0.3191056910569105,0.6381322957198443,0.4821073558648111,0.2875,0.7125,0.3976143141153082,0.0844930417495029,116.0
143,Kemuel Thomas-rivero,0.2579365079365079,0.6035714285714285,0.4398496240601504,0.1806451612903225,0.8193548387096774,0.2913533834586466,0.1484962406015037,50.0
144,Josh Rego,0.3671641791044776,0.7320872274143302,0.5457317073170732,0.2672064777327935,0.7327935222672065,0.3765243902439024,0.1692073170731707,71.0
145,Zach Racusin,0.2920962199312715,0.6832740213523132,0.4842657342657342,0.2445414847161572,0.7554585152838428,0.4003496503496503,0.0839160839160839,70.0
146,Will Riley,0.221938775510204,0.6030927835051546,0.4115384615384615,0.2265625,0.7734375,0.3282051282051282,0.0833333333333333,117.0
147,Lane Hoover,0.2327272727272727,0.5772357723577236,0.4301242236024845,0.189873417721519,0.810126582278481,0.3680124223602484,0.062111801242236,74.0
