,Pitcher,o-xwOBA,o-xBA,o-xSLG
82,Nick Trabacchi,0.3594153821468353,0.3380281329154968,0.500164084136486
83,Alec Huertas,0.38178303837776184,0.35587722063064575,0.5356443421915174
84,Dawson Lane,0.32722771167755127,0.2990643382072449,0.4669444551691413
85,Tyler Jay,0.3402787148952484,0.32359009981155396,0.46884470246732235
86,Zach Gettys,0.3604365587234497,0.33295637369155884,0.5099294064566493
87,Darrien Ragins,0.30521219968795776,0.29758507013320923,0.4102696059271693
88,Kobe Foster,0.3012843430042267,0.2733168601989746,0.43305578734725714
89,Greg Veliz,0.2846756875514984,0.2620943784713745,0.4040119210258126
90,Luis Perez,0.3413733243942261,0.30652177333831787,0.4944738056510687
91,Carlos Sano,0.3428266942501068,0.3032844662666321,0.5029072165489197
92,Tim Holdgrafer,0.3371506929397583,0.325859010219574,0.45717091858386993
93,Cole Cook,0.3453383147716522,0.32423537969589233,0.4810500517487526
94,Grant Larson,0.3558194637298584,0.33960050344467163,0.4885482005774975
95,Braeden Allemann,0.35159438848495483,0.3191946744918823,0.5045191552489996
96,Harley Gollert,0.3458447754383087,0.3189122676849365,0.48966405261307955
97,Derrick Edington,0.29067137837409973,0.2778489589691162,0.3987223356962204
98,Michael Barker,0.3816208243370056,0.3354570269584656,0.56255286000669
99,Perry Bewley,0.34485191106796265,0.3359537720680237,0.4643177902325988
100,Carson Larue,0.34322935342788696,0.3140270709991455,0.4897286994382739
101,Ryan Watson,0.3660166263580322,0.34256649017333984,0.5113935023546219
102,Kevin Davis,0.3086634576320648,0.2914118766784668,0.4279549792408943
103,Kenny Pierson,0.3566640019416809,0.33334553241729736,0.49885628186166286
104,Stephen Knapp,0.36030229926109314,0.3315746784210205,0.5108881257474422
105,Kobey Schlotman,0.29304659366607666,0.2610747814178467,0.4273597924038768
106,Antonio Frias,0.3136517107486725,0.280312180519104,0.45600364077836275
107,Ryan Munoz,0.36983320116996765,0.3350261449813843,0.5317843966186047
