,Batter,Avg. EV,Max EV,90th Percentile EV,Avg. LA,Avg. Direction,Approach Type
56,Mark Vierling,83.1521941039969,103.7488952,97.75729443349937,20.379499832249092,3.6399359976683128,Gap-to-gap
57,Matt Feinstein,83.21121530138277,103.3767566,96.715442619391,19.864542125341895,10.811027623306426,Oppo
58,Matthew Warkentin,91.66250679318225,114.2264735,107.76161147860496,25.248033408425265,2.6434625325743553,Gap-to-gap
59,Matt Mcgarry,85.29437658831273,104.91231566786664,98.977294486,24.08591450886689,-5.036930151145794,Pull
60,Marc-antoine Lebreux,85.08759515487476,107.3165517,101.1849049,19.42880860403253,-4.9604097555764595,Gap-to-gap
61,David Glaude,85.03698361862315,104.6917029,99.14506675033003,23.620824389680948,1.1950124605183625,Gap-to-gap
62,Juremi Profar,85.64102760204803,109.2200274,102.84998439878515,24.57202662710183,7.469206567280613,Oppo
63,Justin Gideon,85.83432866521329,112.05146907336407,102.0195835611698,27.505299337048626,7.468092190928554,Oppo
64,Bryan Leef,85.69498523013758,111.7452249,104.4068526,26.289733971188845,5.212125673913819,Oppo
65,Kyle Crowl,87.43721959792205,108.4081729,102.86374584393366,26.619553177928474,8.144462102259716,Oppo
66,Tj White,84.58230797689309,108.2056835322182,101.4299754,27.266371833321394,3.620685057940887,Gap-to-gap
67,Ruben Castro,88.58588140915448,107.955852,101.25802077,19.528874738165243,-13.800120238262354,Oppo
68,Gaige Howard,82.7343794768311,105.4744764,96.725547606,21.36768525259314,-11.72127038522321,Oppo
69,Zach Huffins,82.46035680845563,104.7999600412722,99.20096470671679,21.341856130234124,-0.5572841911001941,Gap-to-gap
70,Alec Craig,82.15983497017815,101.8409474,96.676635045,22.67395753719222,0.39366406594401127,Gap-to-gap
71,Blake Berry,82.4459233074013,105.3645715,98.07743289752378,22.197998479849588,-4.861653246216306,Gap-to-gap
72,Chase Dawson,82.61335828911889,107.8035704,97.695367515,21.71596127406878,3.0128701901109545,Gap-to-gap
73,Blake Grant-parks,84.90331521455636,107.0217027,100.57012831955323,18.244102393663436,10.857465592038636,Oppo
74,Will Prater,76.54827866195475,99.86206607,94.31383717,18.107550794727597,-9.79284901784932,Oppo
75,Gavin Stupienski,84.6716573491186,106.8543475,100.135839355,20.78721650580603,12.421350256412719,Pull
76,Juan Santana,85.7251816780146,113.7272797,105.02794553854505,24.816422312538513,8.014044884108657,Oppo
77,Will Zimmerman,83.74353271957432,105.73162935025114,99.23216219999999,21.037665307700532,-3.975395068676166,Gap-to-gap
78,Anthony Gomez,81.34018856468832,101.0223152193798,96.74678073953834,25.09570487815301,6.819827836045719,Oppo
79,Jakob Goldfarb,87.30245223041896,110.8544278,104.39943381,25.744835370255583,14.771051498639574,Pull
80,Ian Walters,84.83974528889672,113.87103023817347,102.61589798000001,25.931138999581343,7.444076713694748,Pull
81,Malik Williams,86.70784723263758,108.7391552,104.11024371868513,24.293143307132873,9.312937484409524,Oppo
82,Santiago Chirino,78.97091588464097,98.19000013384594,92.92358738422197,15.871740953898032,6.096512574796679,Oppo
83,Brendon Dadson,87.9345924787139,112.32154555582072,103.05284742690974,22.53760837213542,-5.506634856602138,Oppo
84,Jack Harris,87.7469004164683,109.61798249733296,101.81833116419214,23.877013310179002,8.835696420013202,Oppo
85,Kenen Irizarry,83.23089978379204,102.1958458,95.73481174719235,20.25470880591111,8.33429730581496,Oppo
86,Victor Cerny,80.1163149033953,102.99213245293122,97.25079482476953,21.730409801824802,17.330237730293277,Oppo
87,Willie Estrada,82.39625034896913,106.7925253,98.883880825,25.000843329142818,4.519033359950596,Gap-to-gap
88,Sean Cheely,79.2091434732337,103.19869598625324,96.05336881855374,22.64377623092276,-4.64952972960305,Gap-to-gap
89,Jiandido Tromp,82.71409615381813,108.9612803763957,100.5465944063002,22.51599884985294,6.499665498192097,Oppo
90,James Nelson,87.3074596871334,109.5757395,103.6239285,22.388912480845086,2.5340948663518454,Gap-to-gap
91,Alfredo Marte,86.29695692842301,109.1527827,101.72354641000001,18.733819481533036,-3.1295683416750593,Gap-to-gap
92,Josh Rehwaldt,89.21224328721232,115.66140892225302,106.4985911,28.18224302282996,0.0764489806674675,Gap-to-gap
93,Austin Dennis,80.9568191909836,99.2675943,94.049656278,24.212181844286892,8.014542843704923,Oppo
94,Austin Davis,78.02113629434112,103.1159986,95.676424068,20.951447938821715,8.769764556085272,Oppo
95,Evan Berkley,83.73987390440156,102.8162316736573,97.402670475,22.687120807923005,-14.005987328089263,Pull
96,Brett Milazzo,79.73189972738521,101.4881212,94.70191794931998,21.7002928198447,-11.275091303502094,Oppo
97,Kyle Fitzgerald,83.17546130935963,106.51362076858092,99.69546530716164,24.209171743217077,-3.265940201134864,Gap-to-gap
98,Johnny Hipsman,79.33496818106491,105.6902086,99.383307524,21.046282214709986,2.391044953527746,Gap-to-gap
99,Jawuan Harris,83.19431363521737,104.8436329,100.37749604999999,25.298135626956512,13.798232405496679,Oppo
100,Anthony Brocato,89.03666353977208,109.7443503,104.55180626,28.26023738275981,-0.0362051488365166,Gap-to-gap
