,Name,Age,Team,PA,1B,2B,3B,HR,R,SO,SB,BB,HBP,wOBA,wRAA,BA,SLG,OBP,BAbip,bat-WAR,Reliability
56,Dan Robinson,27.0,Windy City ThunderBolts,333.14739999999995,54,12,1,3,42,63,12,46,3,0.30785240963855426,1.25176794699358,0.25,0.33214285714285713,0.3571992457392734,0.3087557603686636,0.125176794699358,1.0
57,David Glaude,29.0,Capitales de Québec,340.30668127053667,58,16,3,11,56,53,20,34,5,0.3595650887573964,19.384968626811126,0.29931972789115646,0.48639455782312924,0.3731927904731252,0.3276595744680851,1.9384968626811125,1.0
58,David Mendham,24.0,Ottawa Titans,152.908,21,6,0,3,18,33,4,14,3,0.27657615894039733,-3.24569561535093,0.22556390977443608,0.3383458646616541,0.3073743689015617,0.2755102040816326,-0.32456956153509303,0.135
59,David Vinsky,25.0,New York Boulders,417.1436,73,22,1,13,71,75,10,50,8,0.37168192771084335,24.245460903532127,0.307909604519774,0.4858757062146893,0.40034175281605666,0.35687732342007433,2.424546090353213,1.0
60,Drue Galassi,27.0,Lake Erie Crushers,183.237,24,5,0,5,24,47,5,17,2,0.27368888888888887,-4.754884270710443,0.2125,0.3375,0.2892428930838204,0.26605504587155965,-0.47548842707104433,0.27249999999999996
61,Ed Johnson,24.0,Florence Y'Alls,210.7,35,10,0,3,27,42,11,18,4,0.2989613526570048,0.3102094325093341,0.2608695652173913,0.3641304347826087,0.33222591362126247,0.32142857142857145,0.031020943250933408,0.375
62,Eddie Niemann,24.0,Empire State Greys,137.256,19,5,0,2,17,31,3,12,3,0.2638582089552239,-4.365465555164537,0.22033898305084745,0.3135593220338983,0.2987118960191176,0.27906976744186046,-0.4365465555164537,0.06999999999999995
63,Edwin Mateo,25.0,Sussex County Miners,391.02719999999994,69,20,0,3,62,85,36,32,3,0.29788772845953,2.479027938916358,0.26744186046511625,0.35174418604651164,0.3247855903630234,0.3423076923076923,0.24790279389163578,1.0
64,Elijah Brown,26.0,Capitales de Québec,150.78799999999998,20,5,0,2,20,34,7,16,3,0.26546938775510204,-3.683599832135791,0.2125984251968504,0.2992125984251969,0.3050640634533252,0.2717391304347826,-0.3683599832135791,0.13249999999999995
65,Ellison Hanna,25.0,Lake Erie Crushers,139.567,20,5,0,3,17,33,4,13,2,0.28423357664233573,-2.144457536297943,0.23140495867768596,0.34710743801652894,0.3080957532941168,0.29069767441860467,-0.2144457536297943,0.08250000000000002
68,Eric Callahan,26.0,Empire State Greys,141.84799999999998,16,6,1,1,13,39,2,9,0,0.22610791366906477,-10.251019905008377,0.18461538461538463,0.2692307692307692,0.23264339292764089,0.25555555555555554,-1.0251019905008376,0.7525
69,Eric Jenkins,27.0,Empire State Greys,314.883,43,7,1,3,38,102,26,23,3,0.22813636363636366,-16.122926682136917,0.19217081850533807,0.25622775800711745,0.25406262008428526,0.288135593220339,-1.6122926682136918,0.97
70,Eric Rivera,26.0,Gateway Grizzlies,347.46799999999996,54,9,1,4,50,52,26,47,12,0.29757352941176474,4.999693495008784,0.24372759856630824,0.32616487455197135,0.36550128357143685,0.28444444444444444,0.4999693495008784,0.9575
71,Ethan Hunt,26.0,Aigles de Trois-Rivières,138.272,19,5,0,2,16,33,3,12,2,0.2638582089552239,-4.639388820020753,0.21666666666666667,0.30833333333333335,0.2892848877574636,0.2823529411764706,-0.4639388820020753,0.17000000000000004
72,Ethan Skender,27.0,Evansville Otters,332.673,49,14,4,8,49,52,19,19,15,0.29244680851063826,2.5539024171282594,0.25597269624573377,0.4129692832764505,0.327649072813243,0.2851063829787234,0.2553902417128259,0.9025
73,Evan Berkey,24.0,Ottawa Titans,219.128,35,7,0,3,28,47,3,17,6,0.2660046296296296,-6.463710925822472,0.2356020942408377,0.3193717277486911,0.3103209083275529,0.2937062937062937,-0.6463710925822472,0.41000000000000003
74,Evan Giordano,24.0,Sussex County Miners,173.376,24,6,0,4,22,40,3,16,2,0.27957894736842104,-3.896774832265285,0.2236842105263158,0.34210526315789475,0.29992617201919525,0.27522935779816515,-0.3896774832265285,0.21999999999999997
75,GJ Hill,23.0,Joliet Slammers,297.055,37,12,3,12,40,87,12,30,7,0.3318566552901024,7.987616948069032,0.25196850393700787,0.4645669291338583,0.3400043762939523,0.33121019108280253,0.7987616948069032,0.7275
76,Gabe Holt,26.0,Gateway Grizzlies,253.896,58,11,1,4,45,31,14,26,6,0.37031600000000003,16.159763755880988,0.34101382488479265,0.45622119815668205,0.4174937769795507,0.3825136612021858,1.6159763755880987,0.565
77,Gabe Snyder,29.0,Lake Erie Crushers,201.53340635268347,27,7,0,4,23,47,4,18,3,0.265465,-6.7431985868495845,0.21348314606741572,0.3202247191011236,0.2927554347826087,0.265625,-0.6743198586849585,0.42000000000000004
78,Gabriel Garcia,26.0,New York Boulders,410.16720000000004,65,15,2,13,67,69,12,48,14,0.33983578431372546,14.675317906120556,0.2777777777777778,0.4473684210526316,0.38277073349599866,0.3106060606060606,1.4675317906120555,1.0
79,Gaige Howard,26.0,Schaumburg Boomers,369.52,58,23,0,5,65,61,21,68,1,0.3758191780821918,23.28598545761722,0.2975778546712803,0.4290657439446367,0.41946308724832215,0.3521739130434783,2.328598545761722,1.0
80,Gary Mattis,26.0,Evansville Otters,180.4688,25,8,1,2,24,42,20,18,8,0.2832316384180791,2.1434432879983096,0.23841059602649006,0.3443708609271523,0.3435496883671859,0.3177570093457944,0.21434432879983095,0.8475
81,Gavin Stupienski,30.0,Sussex County Miners,328.6026200873362,63,7,0,13,45,66,0,36,5,0.35412576687116565,11.912089784527133,0.2912280701754386,0.45263157894736844,0.37735548172757477,0.33980582524271846,1.1912089784527133,1.0
82,George Callil,26.0,Evansville Otters,322.5552,46,10,1,6,40,92,1,20,14,0.2557809523809524,-12.39095841823115,0.22580645161290322,0.3333333333333333,0.30072372108711937,0.3114754098360656,-1.239095841823115,1.0
83,Giovanni Garbella,28.0,New York Boulders,327.686,41,18,1,9,58,83,11,32,12,0.3091446153846154,3.641003609285671,0.25,0.42028985507246375,0.3448423185610615,0.31746031746031744,0.36410036092856707,1.0
84,Greg Bird,31.0,Capitales de Québec,132.75299238302503,20,4,0,2,16,28,3,12,2,0.26714503816793894,-4.05608302463689,0.22413793103448276,0.3103448275862069,0.30131147540983605,0.27586206896551724,-0.405608302463689,0.10999999999999999
85,Hank Zeisler,25.0,Florence Y'Alls,206.655,29,9,0,3,27,44,8,21,6,0.2843118811881188,-2.1736904777970043,0.23563218390804597,0.3390804597701149,0.3290508335147952,0.296875,-0.21736904777970043,0.36250000000000004
86,Harrison DiNicola,27.0,Florence Y'Alls,337.29839999999996,54,15,0,3,45,48,5,34,3,0.28662089552238806,-6.303858233140435,0.2440677966101695,0.3254237288135593,0.3231559948105298,0.2793522267206478,-0.6303858233140435,1.0
87,Harrison Ray,26.0,Washington WildThings,153.768,23,5,0,2,20,34,6,14,3,0.26854000000000006,-3.951662096187146,0.22727272727272727,0.3106060606060606,0.3056552728786223,0.28865979381443296,-0.3951662096187146,0.14500000000000002
88,Hector Roa,29.0,Lake Erie Crushers,194.0854326396495,30,10,0,3,21,41,3,7,2,0.2608062827225131,-7.580019887587465,0.23626373626373626,0.34065934065934067,0.2679232505643341,0.2898550724637681,-0.7580019887587465,1.0
